state,highway,exit,latitude,longitude
AL,I10,38,30.663116000000002,-87.85226700000001
AL,I10,44,30.65195765,-87.76353334999999
AL,I10,35A,30.6550971,-87.9165106
AL,I10,53,30.62893565,-87.61525305
AL,I10,30,30.6780391,-87.98735655
AL,I10,35B,30.6560088,-87.9091347
AL,I10,35,30.6567654,-87.9051652
AL,I10,49,30.636896999999998,-87.674035
AL,I10,23,30.64925155,-88.0748165
AL,I10,27,30.69160995,-88.02581090000001
AL,I10,15A,30.57988125,-88.17260354999999
AL,I10,20,30.62726605,-88.11769910000001
AL,I10,25B,30.6733708,-88.0452603
AL,I10,4,30.4962497,-88.3359707
AL,I10,15B,30.582238,-88.1680388
AL,I10,22A,30.6419973,-88.0856485
AL,I10,17AB,30.5968819,-88.1535255
AL,I10,22B,30.6412166,-88.0872297
AL,I10,13,30.559627149999997,-88.20242640000001
AL,I10,26A,30.6802972,-88.0429776
AL,I10,25,30.6680549,-88.0491728
AL,I10,26B,30.685647449999998,-88.041949
AL,I10,25A,30.6781683,-88.0435408
AL,I10,24,30.65844075,-88.0616735
AL,I10,10,30.5373163,-88.23955365
AL,I10,22,30.6369658,-88.0953045
AL,I20,191,33.61780975,-85.7228867
AL,I20,188,33.611260200000004,-85.78603369999999
AL,I20,185,33.6051256,-85.8312589
AL,I20,199,33.6216217,-85.5957295
AL,I20,210,33.6534041,-85.413847
AL,I20,205,33.6454018,-85.50301065
AL,I20,32,32.79666315,-88.03104625
AL,I20,45,32.916005600000005,-87.87043835
AL,I20,40,32.86874905,-87.9242649
AL,I20,52,32.9861988,-87.78946445
AL,I20,121,33.512497,-86.874757
AL,I20,124B,33.5198231,-86.8312119
AL,I20,129,33.54559535,-86.76132945
AL,I20,119B,33.498697,-86.899465
AL,I20,123,33.52063955,-86.850113
AL,I20,128,33.548315099999996,-86.7787814
AL,I20,106,33.3398652,-87.03067100000001
AL,I20,136,33.5465806,-86.64160045
AL,I20,120,33.5070445,-86.8847325
AL,I20,140,33.54536185,-86.5901358
AL,I20,113,33.42681445,-86.9556447
AL,I20,110,33.38664105,-86.9878409
AL,I20,104,33.3242654,-87.04790585
AL,I20,132B,33.533943,-86.719952
AL,I20,133,33.53509845,-86.6957797
AL,I20,126B,33.5319603,-86.79960700000001
AL,I20,119A,33.4964471,-86.909469
AL,I20,144A,33.5660921,-86.52112205
AL,I20,158,33.6062048,-86.28146385
AL,I20,147,33.5779593,-86.4758389
AL,I20,162,33.5984836,-86.2125003
AL,I20,152,33.59573905,-86.39577895
AL,I20,153,33.59515265,-86.367338
AL,I20,156,33.600656349999994,-86.32150095
AL,I20,144B,33.56607615,-86.52126725
AL,I20,23,32.7012306,-88.1423312
AL,I20,1,32.453390600000006,-88.3919349
AL,I20,8,32.5230007,-88.29853705
AL,I20,17,32.626480900000004,-88.2079094
AL,I20,179,33.5839901,-85.9248632
AL,I20,165,33.591650200000004,-86.1619295
AL,I20,168,33.59101645,-86.12426415
AL,I20,173,33.58160875,-86.02361115
AL,I20,97,33.2496651,-87.13477979999999
AL,I20,89,33.191297,-87.25750934999999
AL,I20,73,33.1716462,-87.5245367
AL,I20,77,33.17270885000001,-87.44731505
AL,I20,86,33.18877475,-87.3014211
AL,I20,68,33.153493049999994,-87.59602755
AL,I20,76,33.173989750000004,-87.47397185
AL,I20,79,33.1745629,-87.404679
AL,I20,100,33.2790905,-87.0959975
AL,I20,62,33.08973545,-87.67622105000001
AL,I20,71B,33.17075845,-87.55005564999999
AL,I20,71A,33.16922065,-87.55481465
AL,I20,135,33.546047099999996,-86.65910285000001
AL,I20,108,33.36602465,-87.00114965
AL,I20,132A,33.5371156,-86.726078
AL,I20,130A,33.54640005,-86.7468878
AL,I20,130B,33.5440968,-86.7390671
AL,I20,126A,33.527032950000006,-86.80548005
AL,I20,118,33.48519045,-86.91910014999999
AL,I20,115,33.456585000000004,-86.948586
AL,I20,112,33.4101012,-86.9704744
AL,I20,124C,33.5206905,-86.82409530000001
AL,I20,132,33.5314873,-86.7124364
AL,I20,130,33.544226,-86.7535671
AL,I20,124A,33.52044,-86.8359403
AL,I20,124D,33.521635,-86.8276027
AL,I22,7,34.167438000000004,-88.06474850000001
AL,I22,16,34.0719395,-87.97595
AL,I22,14,34.090759500000004,-88.007682
AL,I22,11,34.120313,-88.045505
AL,I22,30,33.9899155,-87.776893
AL,I22,26,34.012012150000004,-87.83406995
AL,I22,22,34.041118,-87.88857254999999
AL,I22,3,34.1941355,-88.12254300000001
AL,I22,34,33.9670826,-87.70542595
AL,I22,57,33.85391575,-87.34985845
AL,I22,63,33.80734205,-87.2789909
AL,I22,61,33.8197438,-87.31296775
AL,I22,53,33.86411775,-87.41279739999999
AL,I22,65,33.7938403,-87.2392811
AL,I22,52,33.86946615,-87.43650785
AL,I22,70,33.7393456,-87.1993911
AL,I22,91,33.595487399999996,-86.88619645
AL,I22,39,33.951909099999995,-87.61631034999999
AL,I22,46,33.91109385,-87.50285199999999
AL,I22,72,33.71972745,-87.18018175
AL,I22,78,33.679015699999994,-87.08452355
AL,I22,81,33.664879400000004,-87.0421973
AL,I22,93,33.5889048,-86.8564004
AL,I22,89,33.6104021,-86.92856165
AL,I22,87,33.631034549999995,-86.9514678
AL,I22,95A,33.5791463,-86.8241181
AL,I22,85,33.64544635,-86.97683760000001
AL,I565,3,34.6407872,-86.8446151
AL,I565,1B,34.627707,-86.900386
AL,I565,7,34.658593100000004,-86.79625635
AL,I565,1,34.629385,-86.894638
AL,I565,2,34.631225,-86.879974
AL,I565,15,34.71506275,-86.64538295
AL,I565,20,34.7488855,-86.5766815
AL,I565,19B,34.7367938,-86.5909621
AL,I565,19C,34.7351196,-86.5943264
AL,I565,19A,34.733943249999996,-86.59443335
AL,I565,14A,34.710963,-86.6616578
AL,I565,9,34.67411515,-86.75060065
AL,I565,14B,34.7087394,-86.6662387
AL,I565,17B,34.719181,-86.62806
AL,I565,14,34.7034295,-86.6828537
AL,I565,13,34.704066,-86.682165
AL,I565,17A,34.718466,-86.632809
AL,I565,8,34.66729,-86.770151
AL,I565,17,34.7227345,-86.6182682
AL,I565,21,34.76083925,-86.5618378
AL,I565,10,34.68301785,-86.73059325
AL,I59,231,34.594612350000006,-85.64113445
AL,I59,218,34.437364450000004,-85.74859864999999
AL,I59,205,34.2753715,-85.87920885
AL,I59,239,34.69654975,-85.5692332
AL,I59,222,34.477163000000004,-85.71230700000001
AL,I59,224,34.5048761,-85.69325620000001
AL,I59,188,34.0731945,-86.02625929999999
AL,I59,181,33.9939947,-86.08993964999999
AL,I59,32,32.79666315,-88.03104625
AL,I59,45,32.916005600000005,-87.87043835
AL,I59,40,32.86874905,-87.9242649
AL,I59,52,32.9861988,-87.78946445
AL,I59,121,33.512497,-86.874757
AL,I59,141,33.639885,-86.617865
AL,I59,137,33.59743185,-86.655892
AL,I59,124B,33.5198231,-86.8312119
AL,I59,131,33.5619769,-86.7343934
AL,I59,129,33.54559535,-86.76132945
AL,I59,119B,33.498697,-86.899465
AL,I59,123,33.52063955,-86.850113
AL,I59,128,33.548315099999996,-86.7787814
AL,I59,106,33.3398652,-87.03067100000001
